movie_title,MDS_1,MDS_2
Faithful,1.619273058,0.139156522
Zodiac,-8.44580262,0.028769971
The Mortal Instruments: City of Bones,0.908839014,-0.519819379
The DUFF,1.395567045,-0.277797923
Caddyshack,-4.969833333,1.714699105
Hustle & Flow,1.1613294,0.642588324
Clueless,1.107332256,0.75763871
Cube,0.624265391,0.890184665
Snitch,1.026893653,-0.258172921
Yogi Bear,0.356572003,-1.502403595
Wanted,-0.115614591,-0.05680716
War of the Worlds,-7.887419512,-1.044384736
In the Bedroom,0.82697462,0.833210702
The Lost City,1.360486571,0.566996109
The Five-Year Engagement,0.977155625,-0.307577518
Larry Crowne,-5.227766849,-0.754226743
You Don't Mess with the Zohan,0.764180055,-0.616709866
Driving Miss Daisy,0.329660844,1.341336767
The Godfather: Part II,-6.464327134,2.53300961
Walking with Dinosaurs 3D,1.042974061,-1.039171402
The Big Bounce,0.957421099,-1.271925769
Clash of the Titans,-0.540641212,-0.814236729
Lawrence of Arabia,-6.758788787,2.609351307
The Man with the Golden Gun,-0.385778416,1.65599479
Scary Movie 2,0.667629766,-0.820335612
Miss March,1.16332049,-1.018423303
Lost in Translation,-1.163681518,0.668250986
Muppets from Space,1.445368787,0.182564097
The Croods,-2.375387657,-1.105064776
True Grit,-1.613221917,0.043689076
Reign Over Me,1.218506949,0.619595355
Deliver Us from Evil,0.934333109,-0.433979819
Futuro Beach,1.504234346,-0.40857868
Footloose,0.765760985,1.11191848
The Hunted,1.385433364,-0.115347491
Street Fighter,0.218100294,-1.818375266
Mad Max: Fury Road,-6.402102442,-2.094165985
Filly Brown,1.276102685,-0.920001279
My Life in Ruins,1.443499767,-0.344290133
Monsters vs. Aliens,0.336406551,-0.206267386
Final Destination 2,1.006063672,-0.039355612
Happiness,0.223114235,1.181004703
Vampire in Brooklyn,1.122294206,-1.126858796
The Host,0.313191056,-0.685567206
Two Lovers,1.140539482,0.317576421
The Shaggy Dog,0.521481304,-1.636480839
Almost Famous,0.385929391,1.16577033
The Rocker,1.320093534,-0.307536205
The Straight Story,0.656459341,1.106284728
Dream House,1.146652905,-0.469314937
The Descent,-0.435026335,0.228407827
The Hoax,1.381528797,0.267627121
Whatever Works,-2.41026538,0.615079344
Assassins,0.881489863,0.797628207
Burn After Reading,-0.135627281,0.04248478
Casino Jack,1.432272133,-0.293632514
Woman in Gold,1.112050225,0.117553819
The Godfather: Part III,-0.467255604,1.532616835
Psycho Beach Party,1.473268634,0.226722168
The Intern,0.821856517,0.042354531
Knowing,0.33391621,-0.289499861
Open Water,0.265743684,-0.534206874
Survival of the Dead,0.120122896,-1.21018502
Major League,0.657934153,1.277653769
Detention of the Dead,0.157294104,-2.012230014
Alvin and the Chipmunks: Chipwrecked,0.00508777,-1.794383822
The Stepford Wives,0.992404321,-0.75537521
Fled,1.557712983,-0.346600608
Oldboy,-0.653352955,0.978487979
Out of Time,1.432550041,0.218891557
Blindness,0.933143401,0.058327106
Amour,-0.724691306,0.20097335
Escape from Alcatraz,-0.570054253,1.87625179
Run All Night,1.083277107,-0.2493349
Dick Tracy,1.140660427,0.602432435
A Low Down Dirty Shame,1.639355419,0.251609873
Bad Grandpa,1.103227488,-0.114523833
Hercules,0.756765227,-0.598183186
House on Haunted Hill,1.107804571,-0.262261019
How to Lose Friends & Alienate People,1.384117362,0.048487557
The Mask,0.430262715,1.032084486
Lara Croft Tomb Raider: The Cradle of Life,1.068329224,-0.592622337
Fascination,-1.123378572,-2.812850818
Breaking Upwards,1.571681999,-0.320963543
Simon Birch,1.276224625,0.756190963
Roger & Me,0.374176282,1.449390778
27 Dresses,1.180497317,-0.212497272
Angels & Demons,0.272818831,0.08548324
Zack and Miri Make a Porno,0.640584376,-0.081348073
RED 2,0.924706545,-0.196430892
My Best Friend's Girl,1.49967356,-0.296786114
Arlington Road,0.962719749,0.748930672
Sphere,1.29946697,0.210838479
The Lovely Bones,0.337086451,-0.01852806
Prisoners,-1.198386175,0.323176043
Lara Croft: Tomb Raider,0.423554067,-0.36205335
V for Vendetta,-4.422900832,-0.373177339
The Revenant,-4.147348221,-1.056410521
Over the Hill to the Poorhouse,-16.5807221,4.619968881
Monkeybone,1.111374892,-1.05138337
Last Action Hero,1.198289031,0.630296272
Unforgiven,-6.681563275,1.261615057
Locker 13,0.565481871,-1.733380317
