movie_title,MDS_1,MDS_2
Larry Crowne ,6.584900296,-0.577855103
You Don't Mess with the Zohan ,-3.36443621,-1.915806977
Driving Miss Daisy ,-0.268851305,1.76193985
The Godfather: Part II ,10.78154117,-1.654756376
Walking with Dinosaurs 3D ,-3.761216959,3.262893764
The Big Bounce ,-1.413194352,4.807619733
Clash of the Titans ,2.294449403,-5.590663357
Lawrence of Arabia ,7.936854329,0.411287573
The Man with the Golden Gun ,0.74641383,2.183703297
Scary Movie 2 ,-4.232756401,1.458186089
Miss March ,-1.847179717,4.537190839
Lost in Translation ,3.702523835,-4.943581785
Muppets from Space ,-2.941965726,3.502402385
The Croods ,3.014749295,-5.856455583
True Grit ,9.688021096,-7.057728626
Reign Over Me ,-2.44862693,-0.978205744
Deliver Us from Evil ,-2.487009892,-2.897404311
Futuro Beach ,-3.622349247,3.202041283
Footloose ,-0.623603445,3.005812087
The Hunted ,-4.048441256,1.380366234
Street Fighter ,-0.221473254,5.220645935
Mad Max: Fury Road ,26.34662909,-7.043550742
Filly Brown ,-1.476025731,4.896713599
My Life in Ruins ,-3.998876764,2.426770286
Monsters vs. Aliens ,-2.079488299,-3.326592457
Final Destination 2 ,-3.802637948,-0.628857372
Happiness ,-0.541366595,-0.487007595
Vampire in Brooklyn ,0.012421201,5.358376431
The Host ,-0.687004846,-4.153401968
Two Lovers ,-3.528621903,-0.788707808
The Shaggy Dog ,-0.754289721,4.589726547
Almost Famous ,1.387102999,-1.985238535
The Rocker ,-4.200884711,1.159470537
The Straight Story ,-0.911355109,-0.242246044
Dream House ,-4.178065827,-0.027465169
The Descent ,1.545847074,-5.127995384
The Hoax ,-3.725142421,0.930766058
Whatever Works ,5.373937743,-0.947469577
Assassins ,-1.97245954,2.73128866
Burn After Reading ,1.720622993,-5.203977181
Casino Jack ,-4.115550089,1.910805642
Woman in Gold ,-2.520659944,-2.82616844
The Godfather: Part III ,1.64774716,-0.463999712
Psycho Beach Party ,-2.461580333,3.945892588
The Intern ,0.047234596,-4.598741907
Knowing ,-0.591171977,-4.332922524
Open Water ,-3.502750246,-1.709475595
Survival of the Dead ,-3.416471435,-2.189905539
Major League ,-0.424414246,2.49548938
Detention of the Dead ,0.883491928,5.267785761
Alvin and the Chipmunks: Chipwrecked ,-0.120274255,3.635741318
The Stepford Wives ,-4.288715287,0.517343625
Fled ,-1.291694517,4.8246189
Oldboy ,4.217351687,-4.854429205
Out of Time ,-3.79851425,1.095304411
Blindness ,-3.271551415,-1.810703696
Amour ,4.071867468,-6.115256712
Escape from Alcatraz ,2.150485769,2.376439952
Run All Night ,-2.408544839,-3.042838682
Dick Tracy ,-2.062047435,2.715893537
A Low Down Dirty Shame ,-0.627307484,4.665283724
Bad Grandpa ,-3.457168863,-1.711584649
Hercules ,-1.863588264,-3.419295309
House on Haunted Hill ,-4.170065246,1.314627314
How to Lose Friends & Alienate People ,-4.063937394,1.038192567
The Mask ,-1.105822816,0.955018829
Lara Croft Tomb Raider: The Cradle of Life ,-4.039679181,-0.325524937
Fascination ,3.44822443,5.872883318
Breaking Upwards ,-2.409598536,4.330815579
Simon Birch ,-1.988246605,2.65905627
Roger & Me ,1.03674853,2.835773235
27 Dresses ,-3.80849292,-0.946388505
Angels & Demons ,1.508302282,-4.679160471
Zack and Miri Make a Porno ,-2.737829105,-2.676715981
RED 2 ,-1.967446702,-3.43685363
